#{"t_start": 1713662304.067028, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,250,3127.208283
0.0,180,3130.164186
2.0,250,3134.372732
3.0,260,3140.094367
2.0,225,3144.233257
0.0,179,3146.781804
1.0,198,3150.19481
0.0,166,3152.743345
1.0,206,3156.164949
2.0,244,3160.838868
1.0,205,3164.606867
2.0,231,3168.59961
0.0,157,3171.198047
3.0,269,3176.51504
1.0,198,3179.67385
2.0,226,3183.577215
2.0,249,3188.345834
3.0,259,3192.948052
5.0,364,3200.83221
2.0,256,3205.321874
3.0,294,3211.130603
0.0,162,3213.355702
1.0,182,3216.66597
1.0,214,3220.306844
5.0,345,3227.04034
1.0,187,3229.873621
2.0,251,3234.903614
1.0,206,3239.292788
2.0,231,3243.773509
1.0,189,3246.874179
2.0,255,3252.470249
0.0,168,3255.0819
2.0,237,3259.861201
1.0,215,3263.620556
0.0,153,3265.685629
3.0,312,3271.972112
3.0,284,3277.705723
0.0,157,3280.325272
2.0,221,3284.888038
4.0,310,3291.478748
2.0,231,3295.930038
4.0,289,3301.974233
3.0,274,3308.516285
0.0,175,3311.092087
2.0,235,3315.909378
0.0,155,3317.928968
2.0,251,3322.926467
4.0,301,3328.867924
3.0,285,3335.005741
0.0,124,3336.994545
3.0,279,3342.088891
2.0,228,3345.925515
3.0,285,3350.898975
0.0,169,3353.214081
6.0,398,3361.217281
0.0,151,3363.585702
1.0,199,3367.388514
2.0,228,3371.826077
2.0,270,3376.952582
2.0,253,3381.558269
5.0,387,3389.981132
0.0,175,3393.101068
0.0,147,3395.645518
1.0,198,3399.097175
2.0,230,3403.768983
2.0,217,3408.022677
0.0,155,3410.042043
3.0,262,3415.096519
0.0,147,3417.645686
0.0,179,3420.644907
1.0,203,3423.938974
3.0,265,3429.895023
2.0,258,3435.083966
1.0,222,3438.836699
1.0,206,3442.080468
2.0,240,3446.778497
3.0,276,3452.096087
9.0,452,3461.874078
2.0,246,3466.923498
3.0,306,3473.721134
1.0,210,3477.401062
2.0,255,3482.476847
2.0,238,3487.531696
2.0,233,3491.867225
0.0,174,3494.477072
2.0,267,3500.033401
5.0,340,3506.920502
2.0,252,3511.492931
0.0,178,3514.237113
2.0,241,3519.72465
3.0,287,3525.967689
3.0,261,3531.092472
5.0,396,3540.118742
3.0,281,3546.259379
2.0,244,3550.576181
6.0,443,3561.401464
2.0,223,3565.828077
2.0,239,3571.992539
3.0,270,3578.805802
0.0,150,3581.118546
0.0,148,3584.451684
4.0,346,3594.255433
6.0,359,3604.437398
0.0,163,3607.120493
2.0,242,3613.176233
0.0,150,3616.056367
1.0,206,3620.40788
1.0,220,3624.412201
1.0,183,3628.216872
2.0,252,3633.046107
2.0,253,3638.27942
2.0,248,3642.691009
0.0,170,3645.301994
0.0,183,3648.348987
2.0,230,3652.734576
2.0,235,3657.107094
2.0,261,3661.931487
1.0,206,3665.836015
4.0,336,3672.772123
1.0,216,3676.662799
2.0,232,3681.029247
1.0,196,3684.598415
1.0,201,3688.213634
3.0,290,3694.067583
0.0,166,3696.816617
0.0,182,3699.991656
1.0,201,3703.958139
4.0,297,3710.350057
4.0,344,3718.947681
3.0,277,3725.351042
0.0,163,3727.939514
1.0,222,3731.788033
2.0,248,3737.309644
0.0,167,3740.14325
2.0,247,3744.405383
2.0,251,3750.15186
1.0,188,3753.754254
1.0,196,3757.32267
1.0,207,3760.695179
3.0,306,3767.375288
4.0,330,3774.694203
4.0,290,3781.188888
3.0,264,3786.071417
3.0,290,3792.016488
2.0,262,3797.344458
4.0,298,3804.518316
2.0,211,3809.087037
2.0,275,3814.18616
2.0,274,3819.796244
0.0,148,3821.981871
0.0,177,3824.956458
1.0,204,3828.560548
2.0,246,3832.968514
3.0,263,3839.16507
1.0,188,3842.573942
3.0,281,3848.067169
0.0,182,3851.452842
0.0,176,3854.321116
2.0,199,3858.288446
3.0,273,3863.660094
4.0,362,3871.576538
0.0,175,3874.24946
1.0,191,3878.671338
0.0,176,3881.354767
0.0,174,3883.968072
1.0,218,3887.771968
3.0,285,3893.908316
1.0,208,3897.55679
4.0,347,3905.004909
0.0,143,3908.020617
1.0,197,3911.728259
4.0,280,3917.975373
5.0,349,3925.87124
3.0,272,3932.297127
2.0,226,3936.881856
1.0,218,3941.022214
5.0,361,3949.721848
4.0,344,3957.065179
4.0,306,3963.962956
1.0,181,3967.270133
2.0,214,3971.429162
3.0,319,3979.025004
1.0,201,3982.890378
3.0,256,3988.350084
1.0,194,3992.274412
0.0,166,3995.350766
3.0,280,4001.511774
1.0,208,4005.632043
0.0,146,4008.030559
6.0,377,4017.524068
2.0,264,4022.710623
3.0,276,4029.568855
1.0,200,4033.76308
0.0,147,4036.247745
2.0,232,4041.611431
2.0,240,4046.083682
1.0,224,4049.922447
2.0,242,4054.646613
2.0,249,4058.844521
1.0,189,4062.285416
0.0,167,4064.845395
0.0,171,4067.380176
5.0,374,4075.736766
1.0,200,4079.536911
1.0,192,4083.090503
2.0,226,4088.18137
2.0,239,4093.124365
2.0,241,4098.30266
1.0,184,4102.261862
2.0,248,4107.391905
3.0,304,4114.256218
3.0,271,4119.85866
1.0,217,4124.018819
2.0,259,4129.532511
2.0,236,4134.816534
1.0,184,4138.357956
1.0,209,4142.613523
5.0,395,4151.771867
